8994,16763,25767,21063,24341,44311,13866,16708,48337,26717,98742,12828,30410,13315,39114,120929,30212,41115,52550
14931,44600,29457,23098,16748,10113,19961,22771,21982,86942,24706,10768,71070,18716,38272,129667,42456,40995,52346
10773,26958,14797,36546,54769,91286,52611,79453,63188,13963,51468,68065,77205,82954,36995,25249,30597,39584,52336
5622,6095,23527,23234,42241,57289,10994,39889,48871,117332,22027,21371,30167,21548,34948,54074,165675,39419,51834
22600,7316,26803,27283,42916,20815,21327,19372,31670,71800,33270,16738,18342,42780,34436,9803,39622,39197,50311
3853,14973,24049,12266,19556,16098,39659,15167,18760,22885,18194,49968,21319,102366,32816,23371,39011,37212,50303
6598,18690,23027,39234,16759,15108,191348,38540,8821,26035,43681,59039,45371,33617,32560,45082,29046,35400,49545
13873,23480,25334,8968,104573,14248,14481,38670,43819,33608,69270,13160,13588,26530,32063,17783,31780,35103,49520
17436,13810,18018,29500,21120,16324,18363,7294,41010,24830,41998,5338,15181,7353,32018,26212,52400,34133,46279
5540,10246,13267,49991,24247,20347,25802,33175,58623,71705,63512,39535,5682,12100,31488,19323,29330,32661,44829
5525,21268,24365,46235,20500,12559,14441,37269,15003,21681,15066,26219,30000,21840,30951,15572,26489,32637,43905
6989,16039,22888,14355,6294,21437,38172,8577,6789,44773,204263,12887,27900,18223,29771,17579,31534,32165,43525
14980,19631,4795,11568,5581,13737,21515,51129,13833,10291,43634,10967,25205,19761,29021,18072,27808,32136,40010
3138,20064,12657,18844,6613,11939,33184,14623,21600,46421,22856,23005,3992,26080,28855,29761,21475,30955,39509
12141,18815,6902,31358,11877,14928,23619,21774,30040,12652,17690,7803,8432,3878,26708,52157,30436,30549,38626
1826,20821,5068,25817,20231,7997,54617,7863,7320,94289,9518,54522,29420,24112,26136,22695,25610,30323,38420
3296,5538,9747,8739,12974,25098,2895,11941,16985,46052,81490,19980,8199,18187,25557,49312,29078,30116,38030
3349,38958,5815,13054,22977,22829,47600,23625,13707,9963,13346,11212,32295,2433,25092,33033,33414,30045,37956
5902,26443,10890,10416,12754,11180,47578,16948,40011,12320,23158,9189,22154,16530,24927,40752,13136,28877,36951
19529,12220,5327,10644,17970,14936,5888,17076,19319,12065,37570,15747,23054,19730,24534,67026,31551,28153,35684
5907,7846,6635,39888,7279,13709,23578,11239,42474,14721,21276,28639,10105,13696,24017,33954,19324,27173,35082
4207,16196,4782,12033,8796,13171,22223,49314,11700,9421,23682,21110,4283,36695,23203,27921,30812,27094,34629
16517,14444,9441,14732,8774,14612,13054,23597,54710,15006,30518,10833,10161,13425,22838,27563,17907,26680,34624
4223,9392,15178,33855,7682,12637,10571,13821,15458,51404,10400,6443,36021,11622,22819,24332,17790,26551,34521
4044,9151,8032,9095,7956,13906,9534,11040,15500,29519,17507,13139,18166,20490,22277,53624,26989,26302,31358
6006,22800,17279,14859,9936,7541,8663,59652,9414,13615,11161,10019,5645,18447,21934,21532,36054,26273,31053
8669,28467,7072,14597,7286,10063,28445,16078,10980,10954,25500,17861,31113,5168,21430,10317,36691,26032,30930
43837,17356,7237,11681,13425,45823,19354,25588,20871,19175,38713,17257,9004,5636,21161,47768,43446,24402,30887
11733,5196,7878,38115,11232,4795,14053,7753,11559,15730,82175,20647,22332,11200,20851,7275,26503,24082,30710
11101,5605,10887,9473,26581,7723,10367,15930,11111,30060,18956,19389,5893,11279,20758,16001,30521,23981,30460
14495,5379,16911,18770,12149,8360,11289,13586,24976,22414,9293,8950,33820,17721,19888,92821,32010,23649,29103
6199,7821,4297,17396,10975,8730,10356,10391,5491,27146,15953,30745,12738,28260,18751,29957,14106,23620,28557
28823,5052,4029,8549,11152,5929,12794,3600,26759,22350,11050,18503,4356,22797,18470,46769,20750,23352,28253
