revenue,total_staff,own_staff,own_ratio,certificates,cert_per_capita,full_certified,revenue_per_capita,revenue_per_own_capita,revenue_per_certificate,revenue_per_full_certified
"49,983",13,12,0.92308,18,1.38462,0,3844.84615,4165.25000,2776.83333,0.00000
"26,032",11,11,1.00000,19,1.72727,3,2366.54545,2366.54545,1370.10526,8677.33333
"30,045",7,7,1.00000,16,2.28571,2,4292.14286,4292.14286,1877.81250,15022.50000
"39,584",12,8,0.66667,26,2.16667,6,3298.66667,4948.00000,1522.46154,6597.33333
"41,535",10,8,0.80000,15,1.50000,1,4153.50000,5191.87500,2769.00000,41535.00000
"27,094",14,14,1.00000,29,2.07143,6,1935.28571,1935.28571,934.27586,4515.66667
"10,552",6,6,1.00000,10,1.66667,1,1758.66667,1758.66667,1055.20000,10552.00000
"23,649",7,5,0.71429,14,2.00000,1,3378.42857,4729.80000,1689.21429,23649.00000
"370,820",6,0,0.00000,13,2.16667,0,61803.33333,0.00000,28524.61538,0.00000
"70,051",11,8,0.72727,24,2.18182,3,6368.27273,8756.37500,2918.79167,23350.33333
"27,173",9,9,1.00000,15,1.66667,1,3019.22222,3019.22222,1811.53333,27173.00000
"56,085",4,3,0.75000,9,2.25000,2,14021.25000,18695.00000,6231.66667,28042.50000
"32,661",9,8,0.88889,15,1.66667,0,3629.00000,4082.62500,2177.40000,0.00000
"32,136",9,3,0.33333,24,2.66667,7,3570.66667,10712.00000,1339.00000,4590.85714
"28,153",10,8,0.80000,19,1.90000,1,2815.30000,3519.12500,1481.73684,28153.00000
"17,395",12,9,0.75000,22,1.83333,2,1449.58333,1932.77778,790.68182,8697.50000
"30,323",7,7,1.00000,15,2.14286,3,4331.85714,4331.85714,2021.53333,10107.66667
"14,440",8,7,0.87500,14,1.75000,2,1805.00000,2062.85714,1031.42857,7220.00000
"24,082",7,7,1.00000,7,1.00000,0,3440.28571,3440.28571,3440.28571,0.00000
"7,138",8,7,0.87500,15,1.87500,1,892.25000,1019.71429,475.86667,7138.00000
"70,628",11,7,0.63636,19,1.72727,0,6420.72727,10089.71429,3717.26316,0.00000
"90,218",4,3,0.75000,8,2.00000,1,22554.50000,30072.66667,11277.25000,90218.00000
"28,877",6,0,0.00000,16,2.66667,3,4812.83333,0.00000,1804.81250,9625.66667
"20,425",7,7,1.00000,15,2.14286,3,2917.85714,2917.85714,1361.66667,6808.33333
"22,716",10,4,0.40000,23,2.30000,4,2271.60000,5679.00000,987.65217,5679.00000
"48,933",5,4,0.80000,10,2.00000,2,9786.60000,12233.25000,4893.30000,24466.50000
"14,443",5,5,1.00000,11,2.20000,3,2888.60000,2888.60000,1313.00000,4814.33333
"15,386",5,2,0.40000,11,2.20000,1,3077.20000,7693.00000,1398.72727,15386.00000
"20,752",6,5,0.83333,14,2.33333,3,3458.66667,4150.40000,1482.28571,6917.33333
"108,963",8,8,1.00000,13,1.62500,1,13620.37500,13620.37500,8381.76923,108963.00000
"23,620",7,7,1.00000,16,2.28571,2,3374.28571,3374.28571,1476.25000,11810.00000
"16,926",6,6,1.00000,15,2.50000,3,2821.00000,2821.00000,1128.40000,5642.00000
"17,938",5,5,1.00000,10,2.00000,1,3587.60000,3587.60000,1793.80000,17938.00000
"16,125",5,5,1.00000,5,1.00000,2,3225.00000,3225.00000,3225.00000,8062.50000
"14,561",5,5,1.00000,9,1.80000,2,2912.20000,2912.20000,1617.88889,7280.50000
"23,981",4,4,1.00000,9,2.25000,1,5995.25000,5995.25000,2664.55556,23981.00000
"30,116",5,4,0.80000,12,2.40000,2,6023.20000,7529.00000,2509.66667,15058.00000
"20,299",4,3,0.75000,9,2.25000,2,5074.75000,6766.33333,2255.44444,10149.50000
"7,382",4,2,0.50000,7,1.75000,1,1845.50000,3691.00000,1054.57143,7382.00000
"17,421",2,2,1.00000,5,2.50000,1,8710.50000,8710.50000,3484.20000,17421.00000
"26,551",5,5,1.00000,11,2.20000,1,5310.20000,5310.20000,2413.72727,26551.00000
"55,792",3,3,1.00000,7,2.33333,1,18597.33333,18597.33333,7970.28571,55792.00000
"26,273",3,3,1.00000,6,2.00000,1,8757.66667,8757.66667,4378.83333,26273.00000
"2,653",3,1,0.33333,7,2.33333,2,884.33333,2653.00000,379.00000,1326.50000
"30,955",7,7,1.00000,7,1.00000,0,4422.14286,4422.14286,4422.14286,0.00000
"17,955",4,0,0.00000,8,2.00000,0,4488.75000,0.00000,2244.37500,0.00000
"10,023",2,2,1.00000,4,2.00000,1,5011.50000,5011.50000,2505.75000,10023.00000
"2,993",4,0,0.00000,5,1.25000,0,748.25000,0.00000,598.60000,0.00000
"7,174",2,2,1.00000,6,3.00000,1,3587.00000,3587.00000,1195.66667,7174.00000
"5,347",4,4,1.00000,7,1.75000,0,1336.75000,1336.75000,763.85714,0.00000
"8,062",2,1,0.50000,3,1.50000,0,4031.00000,8062.00000,2687.33333,0.00000
